2024-09-18 22:40:47 | __main__.wiki_web.build_web | INFO | [  5] Clicking through https://en.wikipedia.org/wiki/Omakere
2024-09-18 22:40:47 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Omakere
2024-09-18 22:40:47 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Central_Hawke%27s_Bay_District
2024-09-18 22:40:48 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Hawke%27s_Bay_Region
2024-09-18 22:40:48 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Regions_of_New_Zealand
2024-09-18 22:40:48 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/New_Zealand
2024-09-18 22:40:49 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Island_country
2024-09-18 22:40:49 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Country
2024-09-18 22:40:49 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Earth
2024-09-18 22:40:50 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Planet
2024-09-18 22:40:51 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Hydrostatic_equilibrium
2024-09-18 22:40:51 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Fluid_mechanics
2024-09-18 22:40:51 | __main__.wiki_web._add_page | DEBUG | Stopping at https://en.wikipedia.org/wiki/Physics
2024-09-18 22:40:51 | __main__.wiki_web.build_web | INFO | [  6] Clicking through https://en.wikipedia.org/wiki/Spider-Man:_The_Video_Game
2024-09-18 22:40:51 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Spider-Man:_The_Video_Game
2024-09-18 22:40:51 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Arcade_video_game
2024-09-18 22:40:52 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Coin-operated
2024-09-18 22:40:52 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Banknote
2024-09-18 22:40:53 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Negotiable_instrument
2024-09-18 22:40:53 | __main__.wiki_page.get_first_link | DEBUG | https://en.wikipedia.org/wiki/Money
